iter	RMSE
0	3447.309965
1	2762.373678
2	2421.508881
3	2183.819096
4	2047.410064
5	1968.923106
6	1916.331753
7	1883.108023
8	1858.089029
9	1835.037218
10	1822.670804
11	1804.90903
12	1790.882802
13	1777.045365
14	1768.223826
15	1759.883332
16	1752.157117
17	1745.097912
18	1736.567319
19	1725.610506
20	1719.161142
21	1710.102287
22	1704.046592
23	1699.879518
24	1689.362829
25	1684.804145
26	1680.601357
27	1674.869999
28	1670.134175
29	1664.42158
30	1659.947232
31	1655.655146
32	1648.334632
33	1645.020263
34	1639.049064
35	1635.074727
36	1631.400111
37	1626.530134
38	1619.308243
39	1615.498596
40	1611.402136
41	1608.037099
42	1605.978365
43	1601.798123
44	1597.200398
45	1593.233852
46	1591.77364
47	1588.297839
48	1584.934616
49	1582.450542
50	1578.001998
51	1573.533097
52	1570.627203
53	1569.166004
54	1566.685616
55	1564.112668
56	1561.759251
57	1559.625724
58	1557.640835
59	1555.962096
60	1554.283964
61	1551.670718
62	1550.08642
63	1547.945221
64	1546.883986
65	1544.482839
66	1543.791438
67	1540.338917
68	1539.187005
69	1537.412225
70	1533.918473
71	1531.022814
72	1528.433333
73	1526.046148
74	1524.249527
75	1522.312617
76	1520.276963
77	1517.860669
78	1515.493433
79	1511.617198
80	1509.453459
81	1507.357457
82	1506.109756
83	1505.266621
84	1503.395558
85	1500.910384
86	1499.704395
87	1497.06201
88	1494.625173
89	1492.375816
90	1489.880229
91	1488.875157
92	1488.843827
93	1486.788411
94	1483.511256
95	1482.143104
96	1480.657202
97	1479.005
98	1477.556415
99	1476.85726
100	1475.650772
101	1472.474525
102	1471.192049
103	1468.589671
104	1467.940118
105	1467.11888
106	1466.088521
107	1465.08042
108	1462.599858
109	1461.180023
110	1459.302169
111	1457.049408
112	1455.62185
113	1454.129393
114	1453.297146
115	1452.51596
116	1451.087534
117	1448.803757
118	1447.975585
119	1445.869406
120	1443.580219
121	1443.286112
122	1441.43653
123	1439.660684
124	1437.797511
125	1436.707422
126	1435.853697
127	1433.779069
128	1432.307067
129	1431.020379
130	1429.21503
131	1427.794665
132	1426.970936
133	1425.880873
134	1423.951627
135	1422.675007
136	1420.623007
137	1418.226374
138	1416.90636
139	1415.663509
140	1415.537929
141	1414.893904
142	1413.726617
143	1412.332534
144	1411.454585
145	1410.473607
146	1409.659541
147	1408.860501
148	1407.909879
149	1406.972794
