iter	Passed	Remaining
0	116	17362
1	225	16687
2	332	16295
3	448	16384
4	561	16295
5	686	16481
6	807	16500
7	922	16369
8	1033	16194
9	1152	16132
10	1268	16030
11	1387	15953
12	1506	15874
13	1627	15812
14	1749	15743
15	1867	15641
16	1986	15538
17	2105	15442
18	2223	15330
19	2348	15267
20	2462	15129
21	2582	15026
22	2702	14921
23	2820	14808
24	2941	14705
25	3068	14633
26	3197	14566
27	3318	14460
28	3436	14337
29	3560	14243
30	3689	14162
31	3813	14061
32	3933	13946
33	4053	13828
34	4173	13713
35	4289	13582
36	4404	13451
37	4518	13318
38	4639	13205
39	4753	13071
40	4868	12944
41	4986	12822
42	5097	12685
43	5213	12559
44	5331	12441
45	5449	12319
46	5566	12198
47	5688	12088
48	5810	11977
49	5943	11887
50	6061	11765
51	6176	11639
52	6299	11528
53	6416	11406
54	6532	11284
55	6651	11165
56	6764	11037
57	6882	10917
58	7003	10802
59	7124	10687
60	7241	10565
61	7362	10449
62	7485	10336
63	7603	10217
64	7707	10078
65	7823	9957
66	7935	9830
67	8056	9715
68	8176	9598
69	8297	9482
70	8418	9367
71	8543	9255
72	8663	9138
73	8787	9025
74	8908	8908
75	9029	8792
76	9153	8678
77	9285	8570
78	9407	8455
79	9530	8339
80	9646	8217
81	9762	8095
82	9879	7974
83	9999	7857
84	10125	7742
85	10251	7628
86	10379	7516
87	10512	7406
88	10633	7288
89	10758	7172
90	10884	7056
91	11004	6937
92	11125	6819
93	11246	6699
94	11380	6588
95	11512	6475
96	11640	6360
97	11771	6246
98	11894	6127
99	12025	6012
100	12159	5899
101	12299	5788
102	12437	5675
103	12564	5557
104	12685	5436
105	12807	5316
106	12936	5198
107	13064	5080
108	13196	4963
109	13319	4843
110	13439	4722
111	13584	4609
112	13701	4486
113	13819	4364
114	13944	4244
115	14068	4123
116	14194	4003
117	14318	3883
118	14446	3763
119	14594	3648
120	14720	3528
121	14844	3406
122	14973	3286
123	15105	3167
124	15223	3044
125	15347	2923
126	15474	2802
127	15603	2681
128	15730	2560
129	15856	2439
130	15993	2319
131	16114	2197
132	16231	2074
133	16344	1951
134	16460	1828
135	16586	1707
136	16711	1585
137	16833	1463
138	16959	1342
139	17084	1220
140	17167	1095
141	17288	974
142	17412	852
143	17535	730
144	17661	609
145	17789	487
146	17917	365
147	18043	243
148	18174	121
149	18299	0
